ts_code,name,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name
002002.SZ,ST鸿达(退市),801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱
002003.SZ,伟星股份,801130.SI,纺织服饰,801131.SI,纺织制造,851315.SI,辅料
002004.SZ,,,,,,,
002006.SZ,精工科技,801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备
002010.SZ,传化智联,801170.SI,交通运输,801178.SI,物流,851787.SI,公路货运
002011.SZ,盾安环境,801110.SI,家用电器,801116.SI,家电零部件Ⅱ,851161.SI,家电零部件Ⅲ
002015.SZ,协鑫能科,801160.SI,公用事业,801161.SI,电力,851614.SI,热力服务
002017.SZ,东信和平,801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件
002019.SZ,,,,,,,
002020.SZ,京新药业,801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂
002023.SZ,海特高新,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
002025.SZ,,,,,,,
002034.SZ,旺能环境,801970.SI,环保,801971.SI,环境治理,859713.SI,固废治理
002035.SZ,华帝股份,801110.SI,家用电器,801114.SI,厨卫电器,851141.SI,厨房电器
002036.SZ,,,,,,,
002038.SZ,,,,,,,
002041.SZ,登海种业,801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子
002042.SZ,华孚时尚,801130.SI,纺织服饰,801131.SI,纺织制造,851312.SI,棉纺
002043.SZ,兔宝宝,801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材
002044.SZ,美年健康,801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院
002045.SZ,国光电器,801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子
002046.SZ,,,,,,,
002048.SZ,宁波华翔,801880.SI,汽车,801093.SI,汽车零部件,850922.SI,车身附件及饰件
002051.SZ,中工国际,801720.SI,建筑装饰,801724.SI,专业工程,857243.SI,国际工程
002053.SZ,,,,,,,
002055.SZ,ST得润,801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装
002060.SZ,广东建工,801160.SI,公用事业,801161.SI,电力,851610.SI,电能综合服务
002061.SZ,浙江交科,801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程
002063.SZ,远光软件,801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件
002068.SZ,黑猫股份,801030.SI,基础化工,801037.SI,橡胶,850363.SI,炭黑
002073.SZ,软控股份,801890.SI,机械设备,801074.SI,专用设备,850727.SI,其他专用设备
002075.SZ,,,,,,,
002077.SZ,大港股份,801080.SI,电子,801081.SI,半导体,850817.SI,集成电路封测
002079.SZ,,,,,,,
002081.SZ,金螳螂,801720.SI,建筑装饰,801722.SI,装修装饰Ⅱ,857221.SI,装修装饰Ⅲ
002085.SZ,万丰奥威,801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂
002088.SZ,鲁阳节能,801710.SI,建筑材料,801713.SI,装修建材,850615.SI,耐火材料
002091.SZ,江苏国泰,801200.SI,商贸零售,801202.SI,贸易Ⅱ,852021.SI,贸易Ⅲ
002093.SZ,,,,,,,
002096.SZ,易普力,801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品
002097.SZ,山河智能,801890.SI,机械设备,801077.SI,工程机械,850771.SI,工程机械整机
002099.SZ,海翔药业,801150.SI,医药生物,801151.SI,化学制药,851511.SI,原料药
002100.SZ,天康生物,801010.SI,农林牧渔,801014.SI,饲料,850142.SI,畜禽饲料
002101.SZ,广东鸿图,801880.SI,汽车,801093.SI,汽车零部件,850925.SI,其他汽车零部件
002104.SZ,恒宝股份,801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件
002106.SZ,莱宝高科,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
002108.SZ,沧州明珠,801030.SI,基础化工,801036.SI,塑料,850351.SI,其他塑料制品
002110.SZ,三钢闽光,801040.SI,钢铁,801044.SI,普钢,850441.SI,长材
002123.SZ,梦网科技,801770.SI,通信,801223.SI,通信服务,852214.SI,通信应用增值服务
002124.SZ,天邦食品,801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖
002125.SZ,,,,,,,
002126.SZ,银轮股份,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002127.SZ,,,,,,,
002130.SZ,,,,,,,
002135.SZ,东南网架,801720.SI,建筑装饰,801724.SI,专业工程,857241.SI,钢结构
002139.SZ,拓邦股份,801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装
002145.SZ,,,,,,,
002149.SZ,西部材料,801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属
002151.SZ,,,,,,,
002154.SZ,报喜鸟,801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装
002158.SZ,汉钟精机,801890.SI,机械设备,801072.SI,通用设备,850715.SI,制冷空调设备
002163.SZ,,,,,,,
002170.SZ,芭田股份,801030.SI,基础化工,801038.SI,农化制品,850381.SI,复合肥
002171.SZ,楚江新材,801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜
002174.SZ,游族网络,801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ
002176.SZ,,,,,,,
002182.SZ,,,,,,,
002183.SZ,,,,,,,
002190.SZ,,,,,,,
002191.SZ,劲嘉股份,801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装
002192.SZ,,,,,,,
002194.SZ,武汉凡谷,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002201.SZ,九鼎新材,801710.SI,建筑材料,801712.SI,玻璃玻纤,857122.SI,玻纤制造
002204.SZ,大连重工,801890.SI,机械设备,801074.SI,专用设备,850725.SI,能源及重型设备
002206.SZ,海利得,801030.SI,基础化工,801032.SI,化学纤维,850341.SI,涤纶
002212.SZ,,,,,,,
002214.SZ,,,,,,,
002215.SZ,,,,,,,
002216.SZ,,,,,,,
002217.SZ,,,,,,,
002218.SZ,,,,,,,
002219.SZ,新里程,801150.SI,医药生物,801156.SI,医疗服务,851564.SI,医院
002221.SZ,东华能源,801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化
002222.SZ,,,,,,,
002226.SZ,江南化工,801030.SI,基础化工,801034.SI,化学制品,850337.SI,民爆制品
002232.SZ,启明信息,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002233.SZ,塔牌集团,801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造
002234.SZ,民和股份,801010.SI,农林牧渔,801017.SI,养殖业,850173.SI,肉鸡养殖
002237.SZ,恒邦股份,801050.SI,有色金属,801053.SI,贵金属,850531.SI,黄金
002239.SZ,奥特佳,801880.SI,汽车,801093.SI,汽车零部件,850926.SI,汽车电子电气系统
002240.SZ,盛新锂能,801050.SI,有色金属,801056.SI,能源金属,850543.SI,锂
002242.SZ,九阳股份,801110.SI,家用电器,801113.SI,小家电,851131.SI,厨房小家电
002243.SZ,,,,,,,
002245.SZ,蔚蓝锂芯,801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池
002249.SZ,大洋电机,801730.SI,电力设备,801731.SI,电机Ⅱ,850741.SI,电机Ⅲ
002250.SZ,联化科技,801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药
002251.SZ,步步高,801200.SI,商贸零售,801203.SI,一般零售,852032.SI,超市
002254.SZ,,,,,,,
002258.SZ,利尔化学,801030.SI,基础化工,801038.SI,农化制品,850333.SI,农药
002261.SZ,,,,,,,
002262.SZ,恩华药业,801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂
002265.SZ,建设工业,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002267.SZ,陕天然气,801160.SI,公用事业,801163.SI,燃气Ⅱ,851631.SI,燃气Ⅲ
002268.SZ,电科网安,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
002270.SZ,华明装备,801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备
002274.SZ,华昌化工,801030.SI,基础化工,801033.SI,化学原料,850325.SI,煤化工
002275.SZ,,,,,,,
002276.SZ,万马股份,801730.SI,电力设备,801738.SI,电网设备,857344.SI,线缆部件及其他
002283.SZ,天润工业,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002285.SZ,,,,,,,
002287.SZ,奇正藏药,801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ
002291.SZ,,,,,,,
002292.SZ,奥飞娱乐,801760.SI,传媒,801766.SI,影视院线,857661.SI,影视动漫制作
002293.SZ,罗莱生活,801130.SI,纺织服饰,801132.SI,服装家纺,851326.SI,家纺
002298.SZ,,,,,,,
002301.SZ,齐心集团,801140.SI,轻工制造,801145.SI,文娱用品,851451.SI,文化用品
002302.SZ,,,,,,,
002303.SZ,美盈森,801140.SI,轻工制造,801141.SI,包装印刷,851425.SI,纸包装
002307.SZ,北新路桥,801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程
002310.SZ,东方新能,801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程
002312.SZ,,,,,,,
002314.SZ,南山控股,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
002315.SZ,焦点科技,801200.SI,商贸零售,801206.SI,互联网电商,852062.SI,跨境电商
002317.SZ,众生药业,801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ
002318.SZ,久立特材,801040.SI,钢铁,801045.SI,特钢Ⅱ,850412.SI,特钢Ⅲ
002320.SZ,,,,,,,
002324.SZ,普利特,801030.SI,基础化工,801036.SI,塑料,850353.SI,改性塑料
002326.SZ,永太科技,801030.SI,基础化工,801034.SI,化学制品,850382.SI,氟化工
002327.SZ,富安娜,801130.SI,纺织服饰,801132.SI,服装家纺,851326.SI,家纺
002332.SZ,,,,,,,
002335.SZ,科华数据,801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ
002338.SZ,,,,,,,
002344.SZ,海宁皮城,801200.SI,商贸零售,801203.SI,一般零售,852034.SI,商业物业经营
002345.SZ,潮宏基,801130.SI,纺织服饰,801133.SI,饰品,851331.SI,钟表珠宝
002349.SZ,精华制药,801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ
002351.SZ,漫步者,801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子
002354.SZ,,,,,,,
002364.SZ,中恒电气,801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ
002367.SZ,,,,,,,
002368.SZ,,,,,,,
002373.SZ,千方科技,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002376.SZ,新北洋,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
002378.SZ,章源钨业,801050.SI,有色金属,801054.SI,小金属,850542.SI,钨
002389.SZ,航天彩虹,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
002390.SZ,信邦制药,801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ
002396.SZ,星网锐捷,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002399.SZ,,,,,,,
002400.SZ,省广集团,801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理
002402.SZ,,,,,,,
002405.SZ,四维图新,801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件
002408.SZ,,,,,,,
002413.SZ,,,,,,,
002416.SZ,爱施德,801200.SI,商贸零售,801204.SI,专业连锁Ⅱ,852041.SI,专业连锁Ⅲ
002421.SZ,达实智能,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002424.SZ,ST百灵,801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ
002425.SZ,凯撒文化,801760.SI,传媒,801764.SI,游戏Ⅱ,857641.SI,游戏Ⅲ
002428.SZ,云南锗业,801050.SI,有色金属,801054.SI,小金属,850544.SI,其他小金属
002432.SZ,,,,,,,
002434.SZ,万里扬,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002435.SZ,ST长康(退市),801150.SI,医药生物,801151.SI,化学制药,851512.SI,化学制剂
002436.SZ,兴森科技,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
