ts_code,name,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name
002334.SZ,英威腾,801890.SI,机械设备,801078.SI,自动化设备,850782.SI,工控设备
002335.SZ,科华数据,801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ
002339.SZ,积成电子,801730.SI,电力设备,801738.SI,电网设备,857321.SI,电网自动化设备
002350.SZ,北京科锐,801730.SI,电力设备,801738.SI,电网设备,857382.SI,配电设备
002351.SZ,漫步者,801080.SI,电子,801085.SI,消费电子,850853.SI,品牌消费电子
002355.SZ,兴民智通,801880.SI,汽车,801093.SI,汽车零部件,850924.SI,轮胎轮毂
002358.SZ,森源电气,801730.SI,电力设备,801738.SI,电网设备,857381.SI,输变电设备
002362.SZ,汉王科技,801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件
002363.SZ,隆基机械,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002364.SZ,中恒电气,801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ
002369.SZ,卓翼科技,801080.SI,电子,801085.SI,消费电子,850854.SI,消费电子零部件及组装
002373.SZ,千方科技,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002376.SZ,新北洋,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
002378.SZ,章源钨业,801050.SI,有色金属,801054.SI,小金属,850542.SI,钨
002380.SZ,科远智慧,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002383.SZ,合众思壮,801740.SI,国防军工,801745.SI,军工电子Ⅱ,857451.SI,军工电子Ⅲ
002384.SZ,东山精密,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002387.SZ,维信诺,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
002389.SZ,航天彩虹,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
002396.SZ,星网锐捷,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002401.SZ,中远海科,801750.SI,计算机,801103.SI,IT服务Ⅱ,852226.SI,IT服务Ⅲ
002405.SZ,四维图新,801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件
002406.SZ,远东传动,801880.SI,汽车,801093.SI,汽车零部件,850923.SI,底盘与发动机系统
002409.SZ,雅克科技,801080.SI,电子,801081.SI,半导体,850813.SI,半导体材料
002410.SZ,广联达,801750.SI,计算机,801104.SI,软件开发,851041.SI,垂直应用软件
002415.SZ,海康威视,801750.SI,计算机,801101.SI,计算机设备,850702.SI,安防设备
