ts_code,name,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name
000603.SZ,盛达资源,801050.SI,有色金属,801055.SI,工业金属,850553.SI,铅锌
000605.SZ,渤海股份,801970.SI,环保,801971.SI,环境治理,859712.SI,水务及水治理
000607.SZ,华媒控股,801760.SI,传媒,801765.SI,广告营销,857652.SI,广告媒体
000612.SZ,焦作万方,801050.SI,有色金属,801055.SI,工业金属,850551.SI,铝
000617.SZ,中油资本,801790.SI,非银金融,801191.SI,多元金融,851922.SI,金融控股
000619.SZ,海螺新材,801710.SI,建筑材料,801713.SI,装修建材,850614.SI,其他建材
000620.SZ,,,,,,,
000623.SZ,,,,,,,
000625.SZ,长安汽车,801880.SI,汽车,801095.SI,乘用车,850952.SI,综合乘用车
000626.SZ,,,,,,,
000628.SZ,高新发展,801720.SI,建筑装饰,801721.SI,房屋建设Ⅱ,850623.SI,房屋建设Ⅲ
000629.SZ,钒钛股份,801040.SI,钢铁,801043.SI,冶钢原料,850432.SI,冶钢辅料
000630.SZ,铜陵有色,801050.SI,有色金属,801055.SI,工业金属,850552.SI,铜
000631.SZ,顺发恒能,801180.SI,房地产,801181.SI,房地产开发,851811.SI,住宅开发
000633.SZ,合金投资,801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料
000635.SZ,英力特,801030.SI,基础化工,801033.SI,化学原料,850322.SI,氯碱
000636.SZ,风华高科,801080.SI,电子,801083.SI,元件,850823.SI,被动元件
000637.SZ,茂化实华,801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化
000650.SZ,仁和药业,801150.SI,医药生物,801155.SI,中药Ⅱ,851521.SI,中药Ⅲ
000651.SZ,格力电器,801110.SI,家用电器,801111.SI,白色家电,851112.SI,空调
000652.SZ,泰达股份,801230.SI,综合,801231.SI,综合Ⅱ,852311.SI,综合Ⅲ
000655.SZ,金岭矿业,801040.SI,钢铁,801043.SI,冶钢原料,850431.SI,铁矿石
000657.SZ,中钨高新,801050.SI,有色金属,801054.SI,小金属,850542.SI,钨
000659.SZ,珠海中富,801140.SI,轻工制造,801141.SI,包装印刷,851424.SI,塑料包装
000661.SZ,长春高新,801150.SI,医药生物,801152.SI,生物制品,851524.SI,其他生物制品
000663.SZ,,,,,,,
