ts_code,name,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name
002842.SZ,翔鹭钨业,801050.SI,有色金属,801054.SI,小金属,850542.SI,钨
002850.SZ,科达利,801730.SI,电力设备,801737.SI,电池,857371.SI,锂电池
002851.SZ,麦格米特,801730.SI,电力设备,801733.SI,其他电源设备Ⅱ,857336.SI,其他电源设备Ⅲ
002876.SZ,三利谱,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
002902.SZ,铭普光磁,801770.SI,通信,801102.SI,通信设备,851024.SI,通信网络设备及器件
002912.SZ,中新赛克,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
002913.SZ,奥士康,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002916.SZ,深南电路,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002933.SZ,新兴装备,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
002938.SZ,鹏鼎控股,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
002952.SZ,亚世光电,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
002955.SZ,鸿合科技,801080.SI,电子,801084.SI,光学光电子,850831.SI,面板
002962.SZ,五方光电,801080.SI,电子,801084.SI,光学光电子,850833.SI,光学元件
002970.SZ,锐明技术,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
003031.SZ,中瓷电子,801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件
600038.SH,中直股份,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
600100.SH,同方股份,801750.SI,计算机,801101.SI,计算机设备,850703.SI,其他计算机设备
600104.SH,上汽集团,801880.SI,汽车,801095.SI,乘用车,850952.SI,综合乘用车
600105.SH,永鼎股份,801770.SI,通信,801102.SI,通信设备,851025.SI,通信线缆及配套
600171.SH,上海贝岭,801080.SI,电子,801081.SI,半导体,850815.SI,模拟芯片设计
600183.SH,生益科技,801080.SI,电子,801083.SI,元件,850822.SI,印制电路板
600198.SH,大唐电信,801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件
600237.SH,铜峰电子,801080.SI,电子,801083.SI,元件,850823.SI,被动元件
600316.SH,洪都航空,801740.SI,国防军工,801742.SI,航空装备Ⅱ,857421.SI,航空装备Ⅲ
600345.SH,长江通信,801770.SI,通信,801102.SI,通信设备,851027.SI,其他通信设备
600355.SH,*ST精伦,801770.SI,通信,801102.SI,通信设备,851026.SI,通信终端及配件
