column,null_pct,inf_count,std,abs_p99,max_abs,flag
gtja_063,0.0131,0,20.166461768703776,91.9476208184603,99.99137109389895,
gtja_064,0.0913,0,0.28867512949963675,0.9900876169431883,1.0,
gtja_065,0.0666,0,11.82351856478365,1.1833333333333333,8692.7088,
gtja_066,0.0666,0,8.395810149676274,30.952937555314595,223.72053029172054,
gtja_067,0.0131,0,10.240457552122296,72.6279511943878,98.51078685619034,
gtja_068,0.0131,0,0.04665684278016355,1.5727448947082076e-05,37.53025268542277,
gtja_069,0.2596,0,0.42320890215089624,0.9259259259259256,1.0,
gtja_070,0.0666,0,218940086.1045006,909572896.4382788,28565341216.81716,HUGE_TAIL
gtja_071,0.3162,0,12.97913799325349,67.05962962933265,289.8369304215771,
gtja_072,0.0666,0,10.244451759636986,76.17926448339014,100.0,
gtja_073,0.4748,0,0.49110595646019933,1.983236923469429,2.0,
gtja_074,1.2224,0,0.4078051480557662,1.8452735368322548,1.9992471296819123,
gtja_075,0.8000,0,0.0691515341185114,0.2916666666666667,0.8823529411764706,
gtja_076,0.2738,0,0.5358361481731461,3.6578812362449726,4.471999716477561,
gtja_077,0.2596,0,0.23488632868949152,0.9011606140022463,1.0,
gtja_078,0.3021,0,85.8389943485281,238.52264142652106,772.8543066573072,HUGE_TAIL
gtja_079,0.0131,0,13.647231028638743,80.47923597706256,99.63859820966245,
gtja_080,0.0666,0,31677.804212576277,548.9974207822873,59147466.0,HUGE_TAIL
gtja_081,0.0000,0,40757779.69645503,172203316.10915372,2065868775.7841277,HUGE_TAIL
gtja_082,0.0666,0,8.911406234442179,73.72961267745222,100.0,
gtja_083,0.0531,0,0.2886751295077668,0.9900878997568731,1.0,
gtja_084,0.2596,0,220181427.23642543,809470016.7999909,17433118502.0,HUGE_TAIL
gtja_085,0.2596,0,0.23867081476689625,0.9500000000000001,1.0,
gtja_086,0.0131,0,1.6952796323371864,2.1961874000000017,1307.2331999999988,
gtja_087,0.1346,0,0.44671687709530034,1.964807374848611,2.0,
gtja_088,0.2738,0,1320.1390190599006,88.03380234673753,991166.8815165877,
gtja_089,0.0000,0,55.20760671452362,19.15283515733511,21330.78699723825,
gtja_090,0.0667,0,0.2886751295094473,0.9900860456416012,1.0,
gtja_091,0.6109,0,0.21926731738060853,0.8506271689810342,0.9952475352551788,
gtja_092,0.0531,0,0.26206817796155574,1.0,1.0,
gtja_093,0.2596,0,194.52386339253786,125.48148799999996,26461.367052999987,HUGE_TAIL
gtja_094,0.4021,0,272895472.4209345,1012049500.6000019,25717689281.0,HUGE_TAIL
gtja_095,0.2596,0,266954881.17008486,1163656687.092102,22995524387.560894,HUGE_TAIL
gtja_096,0.1073,0,20.118657000399295,85.15673889949747,100.0,
gtja_097,0.1209,0,19596152.9848718,77445871.03685333,1722870271.836597,HUGE_TAIL
gtja_098,0.0397,0,376.4985176868257,125.12261400000098,122338.20312800002,HUGE_TAIL
gtja_099,0.0531,0,0.288675129507948,0.9900878997568731,1.0,
gtja_100,0.2596,0,21899746.177950896,89083423.06477596,1425037442.2155795,HUGE_TAIL
gtja_101,1.6728,0,0.4999578682744313,1.0,1.0,
gtja_102,0.0131,0,11.695400278701015,86.51108238387407,100.0,
gtja_103,0.2596,0,34.33197380690058,95.0,95.0,
gtja_104,0.2596,231,0.37556541434052465,1.2835455240659732,1.9638972915036095,INF_HEAVY
gtja_105,0.1209,28,0.4224618691481185,0.9124746046795765,0.9999252421336405,INF_FEW
gtja_106,0.2738,0,351.7935673502376,120.05287999999973,92661.52431000001,HUGE_TAIL
gtja_107,0.0131,0,0.19197254812082326,0.9132989964997217,1.0,
gtja_108,3.0335,0,0.2237310338939824,0.9977918888970468,1.0,
gtja_109,0.0000,0,0.15777351917656307,1.5113315360723596,4.307388071135544,
gtja_110,0.2596,0,50.91885840937486,266.6666666666666,5937.142857142863,HUGE_TAIL
gtja_111,0.0000,0,9801292.944396233,35113731.93246546,1313359758.509849,HUGE_TAIL
gtja_112,0.1483,0,36.78408603246637,89.8263765858531,100.00000000000054,
gtja_113,0.5336,0,0.15580652600274517,0.5884719577040496,0.9720137499919078,
gtja_114,0.0801,9331,100.6161202524196,53.59375231255595,31539.041291082285,INF_HEAVY
gtja_115,0.8283,0,0.2506324517233466,0.9983177087115078,1.0,
gtja_116,0.2596,0,18.433256856096936,6.408410056840932,6232.139256296301,
gtja_117,0.4309,0,0.15178184211580287,0.7415771484375,0.908203125,
gtja_118,0.2596,80,52.48825810179426,263.7995370919888,27600.000000001022,HUGE_TAIL
gtja_119,0.7709,0,0.3999510899486368,0.8843425663328689,0.9938104612096234,
gtja_120,0.0000,0,51.36084840719015,47.16810861423137,5317.5,
gtja_121,1.5745,0,0.26424934527763755,0.9944311196844072,1.0,
gtja_122,0.0131,0,0.012093990417590164,0.016091308589524272,22.192169578838058,
gtja_123,1.8761,0,0.4999444660675653,1.0,1.0,
gtja_124,0.4165,0,17.780661726182856,8.88144825321348,8840.766133901518,
gtja_125,2.7271,0,51.60779801860735,46.71236565506629,5388.718048599518,
gtja_126,0.0000,0,965.1371739879974,771.7765450633284,113198.85251800001,HUGE_TAIL
gtja_127,0.3021,0,8.726307235489568,51.66944223503013,95.76555388940207,
gtja_128,0.1897,0,16.270547654761803,86.99797463108436,100.00000000000001,
gtja_129,0.1483,0,364.7135961694884,126.33917,95339.60867199999,HUGE_TAIL
gtja_130,0.9947,0,47.300450117924086,45.60528668718126,5453.925353925354,
gtja_131,1.2750,0,0.2757902603552787,0.9978821395518416,1.0,
gtja_132,0.2596,0,580783052.1860875,2480980998.7399964,35167533648.0,HUGE_TAIL
gtja_133,0.2596,0,58.8343059968683,95.0,95.0,
gtja_134,0.1621,0,968012358.9596522,43845374.90445506,998250571399.2982,HUGE_TAIL
gtja_135,0.2879,0,5.732784169244034,1.8951558896636287,1925.3378348454944,
gtja_136,0.1209,0,0.2607684158217505,0.7862688519279379,0.9992758559416294,
gtja_137,0.0131,0,1514.9729844391861,371.6048432599665,1110810.3899997463,HUGE_TAIL
gtja_138,1.6346,0,0.4584097985790321,0.9669793621013133,0.9998175182481752,
gtja_139,0.1209,0,0.4346499401363964,0.9341669900681773,0.9992758559416294,
gtja_140,0.0937,0,0.23787943688799082,0.9713590415574691,1.0,
gtja_141,0.3123,0,0.2886751294848877,0.9900862740096366,1.0,
gtja_142,0.2596,0,0.18448401421617694,0.7820746876673249,0.9853653766346789,
gtja_143,100.0000,0,nan,nan,nan,100% null
gtja_144,0.2738,0,0.0008912450734871035,0.0051907864799171114,0.02417541663081086,
gtja_145,0.3447,0,38.88586395095616,108.73916776573348,15442.105357959099,HUGE_TAIL
gtja_146,0.2738,0,50.35773386897698,107.95485923258906,1530.9302591302326,HUGE_TAIL
gtja_147,0.3021,0,18.73628587089245,6.506374887647495,6934.208619918647,
gtja_148,1.4547,0,0.49978744256677515,1.0,1.0,
gtja_149,6.9899,0,12.50067903916678,2.5585662754726304,1084.6408084372422,
gtja_150,0.0000,0,15717.294972573165,12965.57734527662,1761832.5831931804,HUGE_TAIL
gtja_151,0.2738,0,185.82183100355599,72.3006020065186,51218.07197575705,
gtja_152,0.5041,0,2.39726796257579,0.35038397104967156,820.4088118038443,
gtja_153,0.3162,0,954.5415525726851,777.5688035999993,86356.61690828126,HUGE_TAIL
gtja_154,5.2317,0,0.764981575377188,1.0,1.0,
gtja_155,0.0000,0,3552757.2483650222,12771004.15210868,402258572.63837457,HUGE_TAIL
gtja_156,0.0531,0,0.1841958712281497,0.995102655867395,1.0,
gtja_157,0.1346,0,0.3847278347323505,1.8355735479182538,2.0,
gtja_158,0.0000,0,0.027428729701619633,0.14354528122897503,2.2424242424242427,
gtja_159,0.3162,0,1485.4758207478035,7818.75826523264,45922.836211406335,HUGE_TAIL
gtja_160,0.2596,0,69.2277321278075,28.810758649107015,16643.204060404518,
gtja_161,0.1483,0,75.8424350359863,33.581620459999584,15513.243171666669,
gtja_162,0.1621,0,0.3703450777305461,1.0,1.0,
gtja_163,0.2596,0,0.28854760616429903,0.9900749063670412,1.0,
gtja_164,0.1483,1777,10972434070.073048,1259.474134472328,10825960642669.994,INF_HEAVY
gtja_165,3.5539,0,7186.894691740281,4307.474435525134,742138.9976098128,HUGE_TAIL
gtja_166,0.5484,0,0.021979294334578535,0.08082369793975075,1.4151712620615633,
gtja_167,0.1483,0,320.3819803935704,115.57504559999924,91816.76482,HUGE_TAIL
gtja_168,0.2596,0,0.6618799756787123,3.7444879093976917,19.917099902422194,
gtja_169,0.3733,0,5.176974527822374,2.0228129225151488,1755.9929544735503,
